class,risk,usage_count,component,files,duplicate_group,merge_candidates
legend-selected,LOW,1,Unknown,modal.css,,
legend-empty,LOW,1,Unknown,modal.css,,
legend-grayed,LOW,1,Unknown,modal.css,,
no-sheets-message,HIGH,1,NoSheetsMessage,modal.css,2967cf77,no-data-message
import-progress-section,HIGH,1,ImportProgressSection,modal.css,,
import-status-container,HIGH,1,ImportStatusContainer,modal.css,,
status-spinner,HIGH,1,StatusSpinner,modal.css,,
success-count-value,LOW,1,Unknown,modal.css,,
status-text,LOW,1,StatusText,modal.css,,
progress-bar-container,HIGH,1,ProgressBar,modal.css,57e800c6,"selected-file-info, worksheet-results-section"
progress-bar-outer,HIGH,1,ProgressBar,modal.css,,
progress-bar-inner,HIGH,1,ProgressBar,modal.css,,
failure-count-value,LOW,1,Unknown,modal.css,,
progress-stat,HIGH,1,ProgressStat,modal.css,,
warning-count-value,LOW,1,Unknown,modal.css,,
above-start,LOW,1,Unknown,modal.css,2c0305f6,data-row
icon,HIGH,1,Unknown,styles.css,,
rfp-answer-questions-stage,HIGH,1,Unknown,document.css,,
worksheet-results-list,HIGH,1,WorksheetResultsList,modal.css,,
top-bar-right,HIGH,1,TopBar,styles.css,,
worksheet-result-item,HIGH,1,WorksheetResultItem,modal.css,,
has-errors,LOW,1,WorksheetResultItem,modal.css,,
worksheet-result-header,HIGH,1,WorksheetResultHeader,modal.css,,
worksheet-result-stats,LOW,1,WorksheetResultStats,modal.css,,
logo,LOW,1,Unknown,styles.css,,
success-count,HIGH,1,Unknown,modal.css,,
error-count,LOW,1,Unknown,modal.css,52a04d95,failure-stat
next-steps-section,HIGH,1,NextStepsSection,modal.css,,
mapping-field-label,HIGH,1,MappingFieldLabel,modal.css,,
modal-tabs-container,HIGH,1,Modal,modal.css,,
excel-tabs-modal-wrapper,HIGH,1,Modal,modal.css,,
excel-tab-modal-container,HIGH,1,Modal,modal.css,,
excel-tab-modal,HIGH,1,Modal,modal.css,,
doc-stage-content-wrapper,HIGH,1,DocumentStageContentWrapper,document.css,,
excel-tab-modal-badge,HIGH,1,Modal,modal.css,,
top-bar,HIGH,1,TopBar,styles.css,,
grid-container,HIGH,1,GridContainer,document.css,,
selectable,LOW,1,SelectableTab,modal.css,,
control-pane-container,HIGH,1,ControlPane,document.css,,
required-mark,LOW,1,Unknown,modal.css,,
new-tab-button,HIGH,1,NewTabButton,tabs.css,,
mapping-field-group,HIGH,1,MappingFieldGroup,modal.css,,
status-label,HIGH,1,StatusLabel,document.css,,
notifications-list,HIGH,1,NotificationsList,menu.css,,
notification-item,HIGH,1,NotificationItem,menu.css,,
notification-content,HIGH,1,Unknown,menu.css,,
notification-icon,HIGH,1,Unknown,menu.css,,
notification-message,HIGH,1,NotificationMessage,menu.css,,
notification-time,HIGH,1,Unknown,menu.css,,
job-item,HIGH,1,JobItem,menu.css,,
job-header,HIGH,1,JobHeader,menu.css,,
job-title,HIGH,1,Unknown,menu.css,,
job-status,HIGH,1,JobStatus,menu.css,,
job-type,LOW,1,Unknown,menu.css,,
dropdown-footer,HIGH,1,DropdownFooter,menu.css,,
view-all-btn,HIGH,1,Button,menu.css,,
empty-state,HIGH,1,EmptyState,menu.css,,
loading-state,HIGH,1,LoadingState,menu.css,,
error-state,HIGH,1,ErrorState,menu.css,,
step-counter,LOW,1,Unknown,document.css,,
mark-all-read-btn,HIGH,1,Button,menu.css,,
mapping-form,HIGH,1,MappingForm,modal.css,,
badge,HIGH,1,Dropdown,menu.css,,
new-tab-menu,HIGH,1,NewTabMenu,menu.css,,
grid-tabs-container,HIGH,1,GridTabsContainer,document.css,,
excel-tab,HIGH,1,ExcelTab,document.css,,
sub-pane,HIGH,1,SubPane,document.css,01a2b35d,download-failures-btn
responsive-control-pane,HIGH,1,ControlPane,document.css,,
drag-over,LOW,1,Unknown,document.css,,
file-remove,HIGH,1,Unknown,document.css,,
upload-progress,HIGH,1,UploadProgress,"modal.css, document.css",,
visible,HIGH,1,Unknown,menu.css,,
dropdown-header,HIGH,1,DropdownHeader,menu.css,,
task-menu,HIGH,1,Unknown,menu.css,,
task-menu-item,HIGH,1,TaskMenuItem,menu.css,,
project-menu,HIGH,1,Unknown,menu.css,,
project-item,HIGH,1,ProjectItem,menu.css,,
jobs-dropdown,HIGH,1,JobsDropdown,menu.css,79256017,notifications-dropdown
notifications-dropdown,HIGH,1,NotificationsDropdown,menu.css,79256017,jobs-dropdown
dropdown-content,HIGH,1,DropdownContent,menu.css,,
narrow-modal,HIGH,1,NarrowModal,modal.css,,
job-progress,HIGH,1,JobProgress,menu.css,,
status-label-row,HIGH,1,StatusLabelRow,document.css,,
step-number,HIGH,1,Unknown,modal.css,,
step-connector,HIGH,1,Unknown,modal.css,,
drag-drop-area,HIGH,1,DragDropArea,modal.css,,
dragover,LOW,1,DragDropArea,modal.css,,
drag-drop-icon,HIGH,1,Unknown,modal.css,,
drag-drop-text,HIGH,1,Unknown,modal.css,,
status-container,HIGH,1,StatusContainer,document.css,,
selected-file-info,HIGH,1,Unknown,modal.css,57e800c6,"worksheet-results-section, progress-bar-container"
file-details,HIGH,1,Unknown,modal.css,,
file-instructions,HIGH,1,Unknown,modal.css,,
change-file-btn,HIGH,1,Button,modal.css,,
excluded,LOW,1,Modal,modal.css,,
content-excluded,LOW,1,Unknown,modal.css,,
toggle-button-group,HIGH,1,ToggleButtonGroup,modal.css,,
toggle-button,HIGH,1,ToggleButton,modal.css,,
exclude-button,LOW,1,Unknown,modal.css,,
start-row-label,HIGH,1,StartRowLabel,modal.css,,
mapping-instructions,HIGH,1,MappingInstructions,modal.css,,
required-field-note,LOW,1,Unknown,modal.css,,
cell-risk-rating,HIGH,1,Unknown,document.css,,
step-name,LOW,1,Unknown,modal.css,,
file-input-label,LOW,1,FileInputLabel,modal.css,,
cell-completeness,HIGH,1,Unknown,document.css,,
failed,LOW,1,StageNumber,"menu.css, document.css",,
perm-item,HIGH,1,PermItem,modal.css,,
perm-delete-btn,HIGH,1,Button,modal.css,,
running,LOW,1,StageNumber,"menu.css, document.css",,
text-prompt-modal,LOW,1,TextPromptModal,modal.css,,
jobs-table-container,HIGH,1,JobsTable,modal.css,,
cancel-btn,HIGH,1,Button,modal.css,,
import-wizard-modal,HIGH,1,QuestionImportModal,modal.css,,
step-indicator,HIGH,1,StepIndicator,modal.css,,
modal-content,HIGH,1,ModalContent,modal.css,,
btn-cancel,HIGH,1,CancelButton,modal.css,,
btn-back,LOW,1,BackButton,modal.css,,
import-wizard-content,HIGH,1,ImportWizardContent,modal.css,,
password-requirements,HIGH,1,Modal,modal.css,,
results-header,HIGH,0,ResultsHeader,analysis-lm.css,,
documents-grid,HIGH,0,DocumentsGrid,analysis-lm.css,b0748493,csv-grid
cell-ai-date,LOW,0,Unknown,document.css,,
csv-grid,HIGH,0,CsvGrid,analysis-lm.css,b0748493,documents-grid
ag-body-viewport,HIGH,0,Unknown,document.css,,
ag-root-wrapper,HIGH,0,Unknown,document.css,,
analysis-lm-results,HIGH,0,AnalysisLMResults,"analysis-lm.css, document.css",,
icon-bar,HIGH,0,Unknown,styles.css,,
btn-outline,HIGH,0,Button,styles.css,7e26614b,"btn-danger, btn-icon"
ag-cell-value,LOW,0,Unknown,document.css,,
btn-icon,HIGH,0,Button,styles.css,7e26614b,"btn-outline, btn-danger"
btn-sm,HIGH,0,SmallButton,styles.css,,
btn-circle,LOW,0,Button,styles.css,,
btn-lg,HIGH,0,Button,styles.css,,
highlight,LOW,0,Unknown,styles.css,,
button-group-tight,LOW,0,ButtonGroup,styles.css,,
marketplace-header,HIGH,0,MarketplaceHeader,styles.css,,
button-group-justified,LOW,0,ButtonGroup,styles.css,,
button-group-right,LOW,0,ButtonGroup,styles.css,,
button-group-center,LOW,0,ButtonGroup,styles.css,,
ag-cell,HIGH,0,Unknown,document.css,,
ag-cell-wrapper,HIGH,0,Unknown,document.css,,
tribute-container,HIGH,0,TributeContainer,styles.css,,
filter-bar,HIGH,0,Unknown,styles.css,,
json-display,HIGH,0,Unknown,analysis-lm.css,,
ag-icon-menu,LOW,0,Unknown,document.css,,
status-running,HIGH,0,StatusRunning,document.css,,
ag-body-vertical-scroll,HIGH,0,Unknown,document.css,ef3cf5a1,ag-body-horizontal-scroll
step,HIGH,0,Unknown,modal.css,,
doc-status,LOW,0,DocStatus,document.css,8e64eae0,status-completed
doc-placeholder,HIGH,0,DocPlaceholder,document.css,,
stopped,LOW,0,Unknown,menu.css,a2dd3e3f,cancelled
cancelled,LOW,0,Unknown,menu.css,a2dd3e3f,stopped
